data,data_dados,confirmados,confirmados_novos,recuperados,obitos,internados,internados_uci,suspeitos,vigilancia,inc,r_t,R_Wert,data2
26-02-2020,26-02-2020 00:00,0,0,0,0,,,25,,,,,2/26/2020
27-02-2020,27-02-2020 00:00,0,0,0,0,,,51,,,,,2/27/2020
28-02-2020,28-02-2020 00:00,0,0,0,0,,,59,,,,,2/28/2020
29-02-2020,29-02-2020 00:00,0,0,0,0,,,70,,,,,2/29/2020
1/3/2020,1/3/2020 0:00,0,0,0,0,,,85,,,,,3/1/2020
2/3/2020,2/3/2020 0:00,2,2,0,0,,,85,,,,,3/2/2020
3/3/2020,3/3/2020 16:00,4,2,0,0,,,101,,,,,3/3/2020
4/3/2020,4/3/2020 17:00,6,2,0,0,,,117,81,,,Inf,3/4/2020
5/3/2020,5/3/2020 17:00,9,3,0,0,9,,147,213,,,Inf,3/5/2020
6/3/2020,6/3/2020 17:00,13,4,0,0,13,,181,354,,,5.5,3/6/2020
7/3/2020,7/3/2020 17:00,21,8,0,0,21,,224,412,,,4.25,3/7/2020
8/3/2020,8/3/2020 17:30,30,9,0,0,30,,281,447,,5,4,3/8/2020
9/3/2020,9/3/2020 18:45,39,9,0,0,38,,339,496,,4.111111111,3.33,3/9/2020
10/3/2020,10/3/2020 10:00,41,2,0,0,40,,375,667,0.398216418,2.846153846,2.55,3/10/2020
11/3/2020,11/3/2020 0:00,59,18,0,0,57,,471,3066,0.573043138,2.523809524,2.24,3/11/2020
12/3/2020,12/3/2020 0:00,78,19,0,0,69,,637,4923,0.757582453,2.3,2,3/12/2020
13-03-2020,13-03-2020 00:00,112,34,0,0,107,,1308,5674,1.087810702,2.675675676,2.43,3/13/2020
14-03-2020,14-03-2020 00:00,169,57,1,0,114,10,1704,5011,1.641428649,4,4.57,3/14/2020
15-03-2020,15-03-2020 00:00,245,76,2,0,139,9,2271,4592,2.379585911,4.056603774,4.89,3/15/2020
16-03-2020,16-03-2020 00:00,331,86,3,0,139,18,2908,4592,3.195443938,4.231884058,5.27,3/16/2020
17-03-2020,17-03-2020 00:00,448,117,3,1,206,17,4030,6852,4.312392427,4.111111111,4.6,3/17/2020
18-03-2020,18-03-2020 00:00,642,194,3,1,89,20,5067,6656,6.177210774,3.939189189,3.7,3/18/2020
19-03-2020,19-03-2020 00:00,785,143,3,3,89,20,6061,8091,7.536974152,3.288372093,2.9,3/19/2020
20-03-2020,20-03-2020 00:00,1020,235,5,6,126,26,7732,9008,9.780583725,3.109589041,2.72,3/20/2020
21-03-2020,21-03-2020 00:00,1280,260,5,12,156,35,9854,13155,12.22815781,2.72972973,2.48,3/21/2020
22-03-2020,22-03-2020 00:00,1600,320,5,14,169,41,11779,12562,15.24877502,2.324185249,2.03,3/22/2020
23-03-2020,23-03-2020 00:00,2060,460,14,23,201,47,13674,11842,19.62915562,2.445544554,2.36,3/23/2020
24-03-2020,24-03-2020 00:00,2362,302,22,33,203,48,15474,11842,22.54293429,2.107929515,1.95,3/24/2020
25-03-2020,25-03-2020 00:00,2995,633,22,43,276,61,21155,13624,28.51618055,2.117911791,2.06,3/25/2020
26-03-2020,26-03-2020 00:00,3544,549,43,60,191,61,22257,14994,33.6638562,2.036162362,2.03,3/26/2020
27-03-2020,27-03-2020 00:00,4268,724,43,76,354,71,25431,19816,40.36554713,1.87854251,1.73,3/27/2020
28-03-2020,28-03-2020 00:00,5170,902,43,100,418,89,32754,19927,48.57269038,2.032392894,2.09,3/28/2020
29-03-2020,29-03-2020 00:00,5962,792,43,119,486,138,38042,17785,55.52690879,1.853803655,1.73,3/29/2020
30-03-2020,30-03-2020 00:00,6408,446,43,140,571,164,44206,11482,59.02344319,1.575933309,1.47,3/30/2020
31-03-2020,31-03-2020 00:00,7443,1035,43,160,627,188,52086,19260,67.93960592,1.564347291,1.44,3/31/2020
1/4/2020,1/4/2020 0:00,8251,808,43,187,726,230,59457,20275,73.90313959,1.351156812,1.1,4/1/2020
2/4/2020,2/4/2020 0:00,9034,783,68,209,1042,240,66895,21798,80.11920074,1.258596974,1.04,4/2/2020
3/4/2020,3/4/2020 0:00,9886,852,68,246,1058,245,74377,22556,86.1118722,1.292088316,1.21,4/3/2020
4/4/2020,4/4/2020 0:00,10524,638,75,266,1075,251,81087,22858,89.78323332,1.053729581,0.97,4/4/2020
5/4/2020,5/4/2020 0:00,11278,754,75,295,1084,267,86370,23209,93.99849979,1.011415525,0.98,4/5/2020
6/4/2020,6/4/2020 0:00,11730,452,140,311,1099,270,91794,23470,93.92079903,0.969398907,0.88,4/6/2020
7/4/2020,7/4/2020 0:00,12442,712,184,345,1180,271,99730,25070,97.90296321,0.889818441,0.73,4/7/2020
8/4/2020,8/4/2020 0:00,13141,699,196,380,1211,245,104886,24481,98.54399451,0.913335824,0.85,4/8/2020
9/4/2020,9/4/2020 0:00,13956,815,205,409,1173,241,115158,24708,101.1275449,0.925884123,0.88,4/9/2020
10/4/2020,10/4/2020 0:00,15472,1516,233,435,1179,226,123564,25914,108.8199206,1.049605411,1.39,4/10/2020
11/4/2020,11/4/2020 0:00,15987,515,266,470,1175,233,130300,25432,105.0611461,1.092818564,1.39,4/11/2020
12/4/2020,12/4/2020 0:00,16585,598,277,504,1177,228,136243,25041,103.1769026,1.085276074,1.32,4/12/2020
13-04-2020,13-04-2020 00:00,16934,349,277,535,1187,188,139184,26989,102.2347808,1.057293783,1.11,4/13/2020
14-04-2020,14-04-2020 00:00,17448,514,347,567,1227,218,142514,23265,97.17451854,0.896168994,0.53,4/14/2020
15-04-2020,15-04-2020 00:00,18091,643,383,599,1200,208,150804,26144,95.57194027,0.906095552,0.59,4/15/2020
16-04-2020,16-04-2020 00:00,18841,750,493,629,1302,229,154727,26065,95.25142462,0.920482382,0.66,4/16/2020
17-04-2020,17-04-2020 00:00,19022,181,519,657,1284,222,158940,25456,88.734273,0.682167563,0.7,4/17/2020
18-04-2020,18-04-2020 00:00,19685,663,610,687,1253,228,162711,25456,88.97708789,0.738713544,1.13,4/18/2020
19-04-2020,19-04-2020 00:00,20206,521,610,714,1243,224,187604,27947,86.71405313,0.731515152,1.01,4/19/2020
20-04-2020,20-04-2020 00:00,20863,657,610,735,1208,215,198353,30805,88.70513521,0.804298874,0.9,4/20/2020
21-04-2020,21-04-2020 00:00,21379,516,917,762,1172,213,202769,30646,86.80146649,1.107323944,1.13,4/21/2020
22-04-2020,22-04-2020 00:00,21982,603,1143,785,1146,207,210302,30646,85.86905731,1.052190373,1.03,4/22/2020
23-04-2020,23-04-2020 00:00,22353,371,1201,820,1095,204,219848,30342,81.55666489,0.969897818,1.02,4/23/2020
24-04-2020,24-04-2020 00:00,22797,444,1228,854,1068,188,227393,29621,71.14476245,0.960804276,0.96,4/24/2020
